,created_at,id,text,text_nsw
9,2021-11-26 16:58:50+00:00,1464277480496414723,@onefleweast8755 @bearocalypse @breaking911 it’s spreading like crazy in a population with little to no vaccination… https://t.co/ptd8uurx10,@onefleweast8755 @bearocalypse @breaking911 ’ spreading like crazy population little vaccination… https://.co/ptd8uurx10
10,2021-11-26 16:58:51+00:00,1464277481213595670,how can 405 vaxxed people in one day get covid if the vax works? am i wrong here? and let’s not even get started on… https://t.co/yi7cuw4o5k, 405 vaxxed people one day get covid vax works? wrong ? let’ even get started … https://.co/yi7cuw4o5k
11,2021-11-26 16:58:51+00:00,1464277482199257126,@bitbitcrypto algo activity started with s&amp;p last night and btc. pure covid response.,@bitbitcrypto algo activity started &amp;p last night btc. pure covid response.
12,2021-11-26 16:58:51+00:00,1464277484237737984,hoping we get more covid variants so i can buy more cheap stocks and maybe the housing market will chill tf out.,hoping get covid variants buy cheap stocks maybe housing market chill tf .
13,2021-11-26 16:58:52+00:00,1464277487270170656,two to three weeks from now: hospital icu bed shortages reach peak covid numbers,two three weeks : hospital icu bed shortages reach peak covid numbers
14,2021-11-26 16:58:53+00:00,1464277489430237221,"we’re calling it nu covid? like

mom, can we have new covid?

we have new covid at home:

new covid at home: https://t.co/4acmsrpv4t","’ calling nu covid? like mom, new covid? new covid home: new covid home: https://.co/4acmsrpv4t"
15,2021-11-26 16:58:53+00:00,1464277490910699521,@styo28183449 @independent_ie they do get covid but by and large aren't affected by it. we knew that for the first… https://t.co/cc3xeznybh,@styo28183449 @independent_ie get covid large ' affected . knew first… https://.co/cc3xeznybh
16,2021-11-26 16:58:55+00:00,1464277497709793285,yaz i should have been in mozambique/porto today for my birthday weekend but i took covid by head that the country… https://t.co/02g9njobng,yaz mozambique/porto today birthday weekend took covid head country… https://.co/02g9njobng
17,2021-11-26 16:58:55+00:00,1464277501308514304,"i just want every socialist crazy, covid believer out there to know that i'm having family over and asking noone th… https://t.co/ghy42ru3vl"," want every socialist crazy, covid believer know ' family asking noone th… https://.co/ghy42ru3vl"
18,2021-11-26 16:58:56+00:00,1464277502180921374,@the_centerpoint @fish_potat0 @reuters just being ironic and seeing who took the bait.  his 2020 covid response is… https://t.co/4fq7g57tcd,@the_centerpoint @fish_potat0 @reuters ironic seeing took bait. 2020 covid response … https://.co/4fq7g57tcd
19,2021-11-26 16:58:57+00:00,1464277506320646144,"@hannahgraham21 169,000 deaths with covid, not died from covid. bit different when you see things from this perspective.","@hannahgraham21 169,000 deaths covid, died covid. bit different see things perspective."
20,2021-11-26 16:58:57+00:00,1464277506756907034,"@janl ah, yes. and while vaccination is important, it isn’t the ‘escape clause’ that politicians seem to think it i… https://t.co/rbpakprsua","@janl ah, yes. vaccination important, ’ ‘escape clause’ politicians seem think … https://.co/rbpakprsua"
